Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
147;21100876927;"Oeno One";journal;"24941271";"International Viticulture and Enology Society";Yes;Yes;0,556;Q2;31;77;287;4359;734;287;2,26;56,61;45,41;0;24;France;Western Europe;"International Viticulture and Enology Society";"2016-2025";"Horticulture (Q1); Food Science (Q2)";"Agricultural and Biological Sciences"
148;21101052233;"Annual Plant Reviews Online";journal;"26393832";"John Wiley and Sons Inc";No;No;0,553;Q2;20;3;40;587;72;40;1,20;195,67;61,54;0;0;United States;Northern America;"John Wiley and Sons Inc";"2018-2024";"Horticulture (Q1); Agronomy and Crop Science (Q2); Food Science (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences"
149;21101019776;"Beverages";journal;"23065710";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,546;Q2;42;126;262;6993;822;252;2,95;55,50;52,37;0;25;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2015-2024";"Food Science (Q2)";"Agricultural and Biological Sciences"
150;21100809798;"Iraqi Journal of Agricultural Sciences";journal;"00750530, 24100862";"University of Baghdad, College of Agriculture";Yes;No;0,545;Q2;20;213;491;7438;1216;491;2,47;34,92;41,98;0;64;Iraq;Middle East;"University of Baghdad, College of Agriculture";"2016-2025";"Animal Science and Zoology (Q1); Horticulture (Q1); Veterinary (miscellaneous) (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Environmental Science (miscellaneous) (Q2); Food Animals (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Environmental Science; Veterinary"
151;14500154701;"Food Analytical Methods";journal;"1936976X, 19369751";"Springer";No;No;0,541;Q2;72;181;698;7705;2470;696;3,55;42,57;43,21;0;26;United States;Northern America;"Springer";"2008-2025";"Analytical Chemistry (Q2); Food Science (Q2); Safety Research (Q2); Safety, Risk, Reliability and Quality (Q2); Applied Microbiology and Biotechnology (Q3)";"Agricultural and Biological Sciences; Chemistry; Engineering; Immunology and Microbiology; Social Sciences"
152;19700201345;"Nutrition Research and Practice";journal;"19761457, 20056168";"The Korean Society of Community Nutrition";Yes;No;0,539;Q2;50;65;233;2811;492;233;1,63;43,25;62,50;0;31;South Korea;Asiatic Region;"The Korean Society of Community Nutrition";"2010-2024";"Food Science (Q2); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing"
153;26489;"Starch/Staerke";journal;"00389056, 1521379X";"Wiley-VCH Verlag";No;No;0,535;Q2;105;186;511;10327;1813;506;3,28;55,52;45,12;0;39;Germany;Western Europe;"Wiley-VCH Verlag";"1949-1959, 1961-2025";"Food Science (Q2); Organic Chemistry (Q2)";"Agricultural and Biological Sciences; Chemistry"
154;12505;"Ecology of Food and Nutrition";journal;"03670244, 15435237";"Taylor and Francis Ltd.";No;No;0,532;Q2;50;39;116;1736;225;105;1,29;44,51;67,92;0;33;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2025";"Ecology (Q2); Food Science (Q2); Medicine (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Environmental Science; Medicine"
155;130015;"Foodborne Pathogens and Disease";journal;"15567125, 15353141";"Mary Ann Liebert Inc.";No;No;0,532;Q2;91;93;264;3687;619;259;2,08;39,65;49,64;0;27;United States;Northern America;"Mary Ann Liebert Inc.";"2004-2025";"Animal Science and Zoology (Q2); Food Science (Q2); Applied Microbiology and Biotechnology (Q3); Microbiology (Q3)";"Agricultural and Biological Sciences; Immunology and Microbiology"
156;21101057642;"ACS Agricultural Science and Technology";journal;"26921952";"American Chemical Society";No;No;0,530;Q2;18;122;334;6780;1035;320;3,18;55,57;38,10;0;61;United States;Northern America;"American Chemical Society";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q2); Agronomy and Crop Science (Q2); Food Science (Q2); Plant Science (Q2)";"Agricultural and Biological Sciences"
157;21100239265;"PharmaNutrition";journal;"2542520X, 22134344";"Elsevier B.V.";No;No;0,528;Q2;32;48;91;3501;284;83;2,79;72,94;44,81;0;20;Netherlands;Western Europe;"Elsevier B.V.";"2013-2025";"Food Science (Q2); Pharmacology (Q3); Pharmacology (medical) (Q3)";"Agricultural and Biological Sciences; Medicine; Pharmacology, Toxicology and Pharmaceutics"
158;18500157900;"Food Additives and Contaminants - Part A";journal;"19440057, 19440049";"Taylor and Francis Ltd.";No;No;0,526;Q2;71;0;236;0;692;236;2,76;0,00;0,00;0;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2012, 2014-2023";"Chemistry (miscellaneous) (Q2); Food Science (Q2); Public Health, Environmental and Occupational Health (Q2); Health, Toxicology and Mutagenesis (Q3); Medicine (miscellaneous) (Q3); Toxicology (Q3)";"Agricultural and Biological Sciences; Chemistry; Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
159;27705;"Journal of the Institute of Brewing";journal;"00469750, 20500416";"";No;No;0,525;Q2;67;19;83;922;172;69;1,71;48,53;32,76;0;2;United Kingdom;Western Europe;"";"1904, 1908, 1910-1912, 1914-2024";"Food Science (Q2)";"Agricultural and Biological Sciences"
160;71741;"Renewable Agriculture and Food Systems";journal;"17421713, 17421705";"Cambridge University Press";Yes;No;0,520;Q2;73;35;169;2258;403;167;2,36;64,51;48,81;0;34;United Kingdom;Western Europe;"Cambridge University Press";"2004-2025";"Agronomy and Crop Science (Q2); Food Science (Q2)";"Agricultural and Biological Sciences"
161;21100388307;"Journal of Ethnic Foods";journal;"2352619X";"BioMed Central Ltd";Yes;Yes;0,519;Q2;38;41;132;3051;458;132;3,29;74,41;45,92;0;18;United Kingdom;Western Europe;"BioMed Central Ltd";"2015-2025";"Anthropology (Q1); Food Science (Q2)";"Agricultural and Biological Sciences; Social Sciences"
162;23189;"Food Science and Technology International";journal;"15321738, 10820132";"SAGE Publications Inc.";No;No;0,517;Q2;76;124;244;5622;685;244;2,60;45,34;53,06;0;16;United States;Northern America;"SAGE Publications Inc.";"1995-2025";"Chemical Engineering (miscellaneous) (Q2); Food Science (Q2); Industrial and Manufacturing Engineering (Q2)";"Agricultural and Biological Sciences; Chemical Engineering; Engineering"
163;16533;"Phytochemical Analysis";journal;"09580344, 10991565";"John Wiley and Sons Ltd";No;No;0,511;Q2;88;184;284;8581;901;283;2,89;46,64;44,95;0;39;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-2025";"Analytical Chemistry (Q2); Complementary and Alternative Medicine (Q2); Food Science (Q2); Plant Science (Q2); Biochemistry (Q3); Drug Discovery (Q3); Medicine (miscellaneous) (Q3); Molecular Medicine (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
164;21100208077;"Preventive Nutrition and Food Science";journal;"22871098, 22878602";"Korean Society of Food Science and Nutrition";No;No;0,511;Q2;42;59;158;2678;424;158;2,82;45,39;42,28;0;16;South Korea;Asiatic Region;"Korean Society of Food Science and Nutrition";"2012-2024";"Food Science (Q2); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing"
165;73666;"Potato Research";journal;"18714528, 00143065";"Springer Science and Business Media B.V.";No;No;0,510;Q2;56;207;156;10549;436;156;2,75;50,96;38,92;1;89;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1970-2025";"Agronomy and Crop Science (Q2); Food Science (Q2)";"Agricultural and Biological Sciences"
166;20954;"Journal of Stored Products Research";journal;"0022474X";"Elsevier Ltd";No;No;0,504;Q2;94;220;360;11769;1227;360;3,20;53,50;43,57;1;72;United Kingdom;Western Europe;"Elsevier Ltd";"1965-2025";"Horticulture (Q1); Agronomy and Crop Science (Q2); Food Science (Q2); Insect Science (Q2)";"Agricultural and Biological Sciences"
167;21101169080;"Food Bioengineering";journal;"27702081";"John Wiley and Sons Inc";Yes;No;0,500;Q2;7;34;64;2741;176;63;2,75;80,62;42,26;0;7;United States;Northern America;"John Wiley and Sons Inc";"2022-2024";"Food Science (Q2); Applied Microbiology and Biotechnology (Q3); Bioengineering (Q3); Biotechnology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
168;27005;"Journal of the American Society of Brewing Chemists";journal;"03610470";"Taylor and Francis Ltd.";No;No;0,486;Q2;48;48;129;2330;266;129;2,03;48,54;42,41;0;9;United States;Northern America;"Taylor and Francis Ltd.";"1994-2025";"Food Science (Q2); Applied Microbiology and Biotechnology (Q3); Biotechnology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
169;25857;"Flavour and Fragrance Journal";journal;"10991026, 08825734";"John Wiley and Sons Ltd";No;No;0,479;Q2;88;39;133;1736;386;133;2,39;44,51;41,06;0;8;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1985-2025";"Chemistry (miscellaneous) (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Chemistry"
170;4700152831;"Journal of Foodservice Business Research";journal;"15378039, 15378020";"Taylor and Francis Ltd.";No;No;0,479;Q2;41;96;136;8066;515;135;3,74;84,02;40,77;0;36;United States;Northern America;"Taylor and Francis Ltd.";"2002-2025";"Food Science (Q2)";"Agricultural and Biological Sciences"
171;27004;"American Journal of Enology and Viticulture";journal;"00029254";"American Society for Enology and Viticulture";No;No;0,469;Q2;105;26;101;1237;201;101;1,86;47,58;57,28;0;6;United States;Northern America;"American Society for Enology and Viticulture";"1973, 1976, 1981, 1984, 1987-1988, 1992-2025";"Food Science (Q2); Horticulture (Q2)";"Agricultural and Biological Sciences"
172;21100911935;"Applied Animal Science";journal;"25902873, 25902865";"Elsevier Inc.";No;No;0,459;Q2;44;80;197;2937;284;195;1,46;36,71;32,05;0;5;United States;Northern America;"Elsevier Inc.";"2019-2025";"Animal Science and Zoology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences"
173;17700156405;"Polish Journal of Food and Nutrition Sciences";journal;"20836007, 12300322";"Polish Academy Sciences. Institute of Animal Reproduction and Food Research";Yes;No;0,456;Q2;44;36;107;1758;266;107;2,55;48,83;62,98;0;8;Poland;Eastern Europe;"Polish Academy Sciences. Institute of Animal Reproduction and Food Research";"2009-2024";"Food Science (Q2); Nutrition and Dietetics (Q3)";"Agricultural and Biological Sciences; Nursing"
174;21100890157;"Journal of Wine Economics";journal;"1931437X, 19314361";"Cambridge University Press";No;No;0,455;Q2;15;21;61;841;106;59;1,62;40,05;30,61;0;7;United Kingdom;Western Europe;"Cambridge University Press";"2018-2025";"Business, Management and Accounting (miscellaneous) (Q2); Food Science (Q2); Horticulture (Q2)";"Agricultural and Biological Sciences; Business, Management and Accounting"
175;54288;"Animal Science Journal";journal;"13443941, 17400929";"John Wiley and Sons Inc";No;No;0,454;Q2;56;115;398;4581;698;393;1,33;39,83;29,23;0;11;United States;Northern America;"John Wiley and Sons Inc";"2003-2025";"Agricultural and Biological Sciences (miscellaneous) (Q2); Animal Science and Zoology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences"
176;19700201670;"CYTA - Journal of Food";journal;"19476345, 19476337";"Taylor and Francis Ltd.";Yes;No;0,453;Q2;52;127;211;7653;556;211;2,25;60,26;42,39;0;30;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2009-2025";"Chemical Engineering (miscellaneous) (Q2); Chemistry (miscellaneous) (Q2); Food Science (Q2); Industrial and Manufacturing Engineering (Q2)";"Agricultural and Biological Sciences; Chemical Engineering; Chemistry; Engineering"
177;34696;"Turkish Journal of Agriculture and Forestry";journal;"1300011X, 13036173";"TUBITAK";Yes;No;0,452;Q2;57;79;240;4536;689;240;3,39;57,42;37,11;0;30;Turkey;Middle East;"TUBITAK";"1994-2024";"Ecology (Q2); Food Science (Q2); Forestry (Q2)";"Agricultural and Biological Sciences; Environmental Science"
178;21101066325;"Advances in Agriculture";journal;"23147539, 2356654X";"John Wiley and Sons Ltd";Yes;No;0,451;Q2;24;18;185;903;507;185;2,19;50,17;28,57;0;14;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2024";"Agricultural and Biological Sciences (miscellaneous) (Q2); Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Food Science (Q2); Soil Science (Q2)";"Agricultural and Biological Sciences"
179;21101046172;"Cogent Food and Agriculture";journal;"23311932";"Informa Healthcare";Yes;No;0,448;Q2;53;372;504;22369;1384;504;2,59;60,13;28,92;0;275;United Kingdom;Western Europe;"Informa Healthcare";"2015-2025";"Agricultural and Biological Sciences (miscellaneous) (Q2); Food Science (Q2)";"Agricultural and Biological Sciences"
180;34765;"Irish Journal of Agricultural and Food Research";journal;"07916833";"Compuscript Ltd";Yes;Yes;0,442;Q2;36;10;51;576;92;49;1,46;57,60;40,00;0;6;Ireland;Western Europe;"Compuscript Ltd";"1993-2024";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Ecology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Environmental Science"
181;21101262337;"Frontiers in Food Science and Technology";journal;"26741121";"Frontiers Media SA";Yes;No;0,439;Q2;8;40;102;2426;246;96;2,38;60,65;44,83;0;15;Switzerland;Western Europe;"Frontiers Media SA";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Food Science (Q2); Biotechnology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Engineering"
182;20612;"Journal of Food Safety";journal;"01496085, 17454565";"Wiley-Blackwell";No;No;0,439;Q2;58;79;216;4615;561;216;2,17;58,42;41,64;0;16;United States;Northern America;"Wiley-Blackwell";"1977-1978, 1980-2025";"Food Science (Q2); Microbiology (Q3); Parasitology (Q3)";"Agricultural and Biological Sciences; Immunology and Microbiology"
183;39604;"British Poultry Science";journal;"00071668, 14661799";"Taylor and Francis Ltd.";No;No;0,437;Q2;110;107;293;5201;589;291;1,82;48,61;41,99;0;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1960-2025";"Animal Science and Zoology (Q2); Food Science (Q2); Medicine (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Medicine"
184;21841;"Food Additives and Contaminants";journal;"0265203X, 14645122";"Taylor and Francis Ltd.";No;No;0,434;Q2;125;123;213;6165;469;213;2,20;50,12;49,66;0;35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984-2014, 2018, 2020-2025";"Chemistry (miscellaneous) (Q2); Food Science (Q2); Health, Toxicology and Mutagenesis (Q3); Public Health, Environmental and Occupational Health (Q3); Toxicology (Q3)";"Agricultural and Biological Sciences; Chemistry; Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
185;12921;"European Journal of Lipid Science and Technology";journal;"14389312, 14387697";"Wiley-VCH Verlag";No;No;0,430;Q2;115;77;241;3774;595;238;2,23;49,01;48,06;0;21;Germany;Western Europe;"Wiley-VCH Verlag";"2000-2025";"Chemistry (miscellaneous) (Q2); Food Science (Q2); Industrial and Manufacturing Engineering (Q2); Biotechnology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering"
186;21101203739;"Food Materials Research";journal;"27714683";"Maximum Academic Press";Yes;No;0,428;Q2;6;37;59;2033;114;58;2,02;54,95;52,98;0;9;United States;Northern America;"Maximum Academic Press";"2021-2024";"Food Science (Q2)";"Agricultural and Biological Sciences"
187;91636;"International Food and Agribusiness Management Review";journal;"10967508, 15592448";"International Food and Agribusiness Management Association";Yes;No;0,426;Q2;49;50;136;2886;304;133;2,15;57,72;43,83;0;36;United States;Northern America;"International Food and Agribusiness Management Association";"1998-2024";"Business and International Management (Q2); Food Science (Q2)";"Agricultural and Biological Sciences; Business, Management and Accounting"
188;21100217620;"Quality Assurance and Safety of Crops and Foods";journal;"17578361, 1757837X";"Codon Publications";No;No;0,425;Q2;31;36;176;2026;1149;175;7,18;56,28;56,85;0;14;Singapore;Asiatic Region;"Codon Publications";"2009-2025";"Agronomy and Crop Science (Q2); Food Science (Q2)";"Agricultural and Biological Sciences"
189;15092;"Food and Agricultural Immunology";journal;"14653443, 09540105";"Taylor and Francis Ltd.";Yes;No;0,422;Q2;47;26;143;1873;330;143;2,22;72,04;42,46;0;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-2003, 2005-2025";"Agronomy and Crop Science (Q2); Food Science (Q2); Immunology (Q3)";"Agricultural and Biological Sciences; Immunology and Microbiology"
190;21100310032;"OCL - Oilseeds and Fats, Crops and Lipids";journal;"22726977, 22576614";"EDP Sciences";Yes;Yes;0,422;Q2;40;31;125;1486;306;121;2,18;47,94;40,56;0;14;France;Western Europe;"EDP Sciences";"2013-2025";"Agronomy and Crop Science (Q2); Food Science (Q2); Biochemistry (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
191;21100842838;"AIMS Agriculture and Food";journal;"24712086";"AIMS Press";Yes;No;0,421;Q2;23;55;161;3558;396;159;1,87;64,69;43,32;0;30;United States;Northern America;"AIMS Press";"2016-2025";"Agricultural and Biological Sciences (miscellaneous) (Q2); Food Science (Q2)";"Agricultural and Biological Sciences"
192;21101255658;"Food and Humanity";journal;"29498244";"Elsevier B.V.";No;No;0,416;Q2;9;268;188;17087;488;188;2,60;63,76;40,67;0;111;Netherlands;Western Europe;"Elsevier B.V.";"2023-2025";"Food Science (Q2)";"Agricultural and Biological Sciences"
193;21100875680;"Lifestyle Genomics";journal;"25043188, 25043161";"S. Karger AG";Yes;No;0,413;Q2;37;15;47;993;79;46;1,94;66,20;57,83;0;10;Switzerland;Western Europe;"S. Karger AG";"2017-2024";"Food Science (Q2); Genetics (Q3); Medicine (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
194;23412;"Journal of AOAC International";journal;"10603271";"AOAC International";No;No;0,411;Q2;106;105;622;3034;1195;616;1,91;28,90;43,69;0;30;United States;Northern America;"AOAC International";"1993-2025";"Agronomy and Crop Science (Q2); Food Science (Q2); Analytical Chemistry (Q3); Environmental Chemistry (Q3); Pharmacology (Q3)";"Agricultural and Biological Sciences; Chemistry; Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
195;39098;"Journal of Dairy Research";journal;"00220299, 14697629";"Cambridge University Press";No;No;0,410;Q2;91;57;232;1785;362;220;1,13;31,32;40,52;0;8;United Kingdom;Western Europe;"Cambridge University Press";"1929-2024";"Animal Science and Zoology (Q2); Food Science (Q2); Medicine (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Medicine"
196;21101211360;"Functional Food Science";journal;"27673146";"Functional Food Institute";No;No;0,403;Q2;9;38;49;2191;257;48;6,05;57,66;53,06;0;21;United States;Northern America;"Functional Food Institute";"2021-2025";"Food Science (Q2)";"Agricultural and Biological Sciences"
197;4000152112;"International Journal of Food Engineering";journal;"15563758, 21945764";"Walter de Gruyter GmbH";No;No;0,402;Q2;41;71;204;3244;431;203;1,84;45,69;40,95;0;5;Germany;Western Europe;"Walter de Gruyter GmbH";"2006-2025";"Engineering (miscellaneous) (Q2); Food Science (Q2); Biotechnology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Engineering"
198;16900154706;"Animal Production Science";journal;"18365787, 18360939";"CSIRO Publishing";No;No;0,397;Q2;94;102;560;5364;783;554;1,23;52,59;38,06;0;32;Australia;Pacific Region;"CSIRO Publishing";"2009-2025";"Animal Science and Zoology (Q2); Food Science (Q2)";"Agricultural and Biological Sciences"
199;40720;"Journal of International Food and Agribusiness Marketing";journal;"08974438, 15286983";"Routledge";No;No;0,396;Q2;34;74;88;5178;247;86;3,07;69,97;35,07;0;31;United States;Northern America;"Routledge";"1989-2025";"Food Science (Q2); Business and International Management (Q3); Marketing (Q3)";"Agricultural and Biological Sciences; Business, Management and Accounting"
200;22877;"Journal of Sustainable Forestry";journal;"1540756X, 10549811";"Taylor and Francis Ltd.";No;No;0,396;Q2;38;10;159;713;292;158;1,94;71,30;39,02;0;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2024";"Food Science (Q2); Forestry (Q2); Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences"
201;21101095939;"Food Ethics";journal;"23646861";"Springer International Publishing AG";No;No;0,391;Q2;14;23;50;1430;111;48;1,92;62,17;52,50;0;13;Switzerland;Western Europe;"Springer International Publishing AG";"2018-2025";"Philosophy (Q1); Food Science (Q2)";"Agricultural and Biological Sciences; Arts and Humanities"
202;16818;"Journal of Sensory Studies";journal;"1745459X, 08878250";"Wiley-Blackwell";No;No;0,389;Q2;66;61;234;2826;437;234;1,62;46,33;53,33;0;8;United States;Northern America;"Wiley-Blackwell";"1986-2025";"Food Science (Q2); Sensory Systems (Q4)";"Agricultural and Biological Sciences; Neuroscience"
203;15630;"Food Biotechnology";journal;"08905436, 15324249";"Taylor and Francis Ltd.";No;No;0,381;Q2;41;19;57;1178;120;57;1,60;62,00;54,44;0;0;United States;Northern America;"Taylor and Francis Ltd.";"1987-2024";"Food Science (Q2); Applied Microbiology and Biotechnology (Q3); Biotechnology (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
204;21100267784;"Italian Journal of Food Safety";journal;"22397132";"Page Press Publications";Yes;No;0,380;Q2;26;50;117;1935;249;117;1,84;38,70;55,87;0;19;Italy;Western Europe;"Page Press Publications";"2011-2025";"Food Science (Q2)";"Agricultural and Biological Sciences"
205;19700181263;"Recent patents on food, nutrition & agriculture";journal;"18761429, 22127984";"Bentham Science Publishers";No;No;0,376;Q2;36;0;14;0;33;13;0,00;0,00;0,00;0;0;United Arab Emirates;Middle East;"Bentham Science Publishers";"2009-2016, 2018-2021";"Agronomy and Crop Science (Q2); Food Science (Q2); Medicine (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Medicine"
206;40738;"Journal of Animal and Feed Sciences";journal;"12301388, 27198448";"Kielanowski Institute of Animal Physiology and Nutrition, Polish Academy of Science";No;No;0,374;Q3;42;51;124;2598;217;123;1,67;50,94;47,60;0;8;Poland;Eastern Europe;"Kielanowski Institute of Animal Physiology and Nutrition, Polish Academy of Science";"1996-2025";"Animal Science and Zoology (Q2); Food Science (Q3)";"Agricultural and Biological Sciences"
207;23391;"Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes";journal;"03601234, 15324109";"Taylor and Francis Ltd.";No;No;0,374;Q3;65;67;270;3300;512;270;1,94;49,25;42,33;0;31;United States;Northern America;"Taylor and Francis Ltd.";"1976-2025";"Food Science (Q3); Medicine (miscellaneous) (Q3); Pollution (Q3)";"Agricultural and Biological Sciences; Environmental Science; Medicine"
208;21100855404;"Journal of Food Quality and Hazards Control";journal;"2345685X, 23456825";"Shahid Sadoughi University of Medical Sciences";Yes;Yes;0,371;Q3;18;31;83;1176;150;80;2,47;37,94;48,15;0;9;Iran;Middle East;"Shahid Sadoughi University of Medical Sciences";"2014-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
209;4700152642;"Journal fur Verbraucherschutz und Lebensmittelsicherheit";journal;"16615751";"Springer Science and Business Media Deutschland GmbH";No;No;0,367;Q3;36;58;117;1816;218;104;1,64;31,31;49,57;1;15;Switzerland;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2006-2025";"Agronomy and Crop Science (Q2); Food Animals (Q2); Biotechnology (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Veterinary"
210;21100368201;"Wine Economics and Policy";journal;"22133968, 22129774";"UniCeSV - Universita degli Studi di Firenze";Yes;Yes;0,365;Q3;37;18;49;1018;97;49;1,90;56,56;44,00;0;9;Italy;Western Europe;"UniCeSV - Universita degli Studi di Firenze";"2012-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Horticulture (Q2); Food Science (Q3)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance"
211;51064;"Journal of Inclusion Phenomena and Macrocyclic Chemistry";journal;"15731111, 13883127";"Springer";No;No;0,364;Q3;69;54;176;2531;336;175;1,80;46,87;38,29;0;4;Netherlands;Western Europe;"Springer";"1999-2025";"Chemistry (miscellaneous) (Q3); Condensed Matter Physics (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Chemistry; Physics and Astronomy"
212;18200156702;"World Mycotoxin Journal";journal;"18750710, 18750796";"Wageningen Academic Publishers";No;No;0,364;Q3;50;4;111;199;212;108;1,98;49,75;23,81;0;1;Netherlands;Western Europe;"Wageningen Academic Publishers";"2009-2024";"Food Science (Q3); Public Health, Environmental and Occupational Health (Q3); Toxicology (Q3)";"Agricultural and Biological Sciences; Medicine; Pharmacology, Toxicology and Pharmaceutics"
213;5700165569;"Food, Culture and Society";journal;"15528014";"Taylor and Francis Ltd.";No;No;0,359;Q3;32;127;199;7295;310;178;1,50;57,44;69,06;2;49;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Cultural Studies (Q1); Food Science (Q3); Social Psychology (Q3)";"Agricultural and Biological Sciences; Psychology; Social Sciences"
214;72154;"Journal of Agricultural and Food Industrial Organization";journal;"15420485, 21945896";"Walter de Gruyter GmbH";No;No;0,359;Q3;27;15;41;671;77;40;1,38;44,73;26,92;0;8;Germany;Western Europe;"Walter de Gruyter GmbH";"2003-2025";"Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3); Food Science (Q3)";"Agricultural and Biological Sciences; Business, Management and Accounting; Economics, Econometrics and Finance"
215;20576;"Journal of Aquatic Food Product Technology";journal;"15470636, 10498850";"Taylor and Francis Ltd.";No;No;0,357;Q3;45;53;252;2571;453;237;1,57;48,51;48,32;0;6;United States;Northern America;"Taylor and Francis Ltd.";"1992-2025";"Aquatic Science (Q3); Food Science (Q3)";"Agricultural and Biological Sciences"
216;21100469366;"Agricultural Research";journal;"22497218, 2249720X";"Springer International Publishing AG";No;No;0,338;Q3;43;167;186;7808;365;186;1,48;46,75;29,95;0;90;Switzerland;Western Europe;"Springer International Publishing AG";"2012-2025";"Agronomy and Crop Science (Q2); Food Science (Q3); Plant Science (Q3)";"Agricultural and Biological Sciences"
217;21100202708;"Culture, Agriculture, Food and Environment";journal;"21539561, 21539553";"John Wiley &amp; Sons Inc.";No;No;0,337;Q3;19;12;38;369;34;31;0,65;30,75;52,63;0;8;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2024";"Cultural Studies (Q1); Agricultural and Biological Sciences (miscellaneous) (Q2); Anthropology (Q2); Food Science (Q3)";"Agricultural and Biological Sciences; Social Sciences"
218;12573;"Food and Foodways";journal;"15423484, 07409710";"Taylor and Francis Ltd.";No;No;0,333;Q3;23;17;48;883;75;47;1,84;51,94;52,00;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-1994, 1999, 2001, 2007-2025";"Cultural Studies (Q1); Anthropology (Q2); Sociology and Political Science (Q2); Food Science (Q3); Health (social science) (Q3)";"Agricultural and Biological Sciences; Social Sciences"
219;21100244628;"Journal of Berry Research";journal;"18785093, 18785123";"SAGE Publications Ltd";No;No;0,333;Q3;37;14;98;1028;154;98;1,65;73,43;54,65;0;5;Netherlands;Western Europe;"SAGE Publications Ltd";"2010-2024";"Agronomy and Crop Science (Q2); Horticulture (Q2); Biochemistry (Q3); Food Science (Q3); Plant Science (Q3); Soil Science (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
